,Unnamed: 0,Country,Confirmed,Deaths,Recovered,Active,NewCases,NewDeaths,NewRecovered,DeathsPer100Cases,RecoveredPer100Cases,DeathsPer100Recovered,ConfirmedLastWeek,1WeekChange,WHORegion,HDIRank,HDI,LifeExpectancyAtBirth,AvgTemperature
42,42,Kazakhstan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(65.54, 71.96]","(31.086, 44.751]"
43,43,Kenya,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(59.12, 65.54]","(58.415, 72.08]"
44,44,Kuwait,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(38.4, 75.8]","(0.739, 0.85]","(78.38, 84.8]","(58.415, 72.08]"
45,45,Kyrgyzstan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(44.751, 58.415]"
46,46,Latvia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.85, 0.962]","(71.96, 78.38]","(31.086, 44.751]"
47,47,Lebanon,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(75.8, 113.2]","(0.627, 0.739]","(71.96, 78.38]","(58.415, 72.08]"
48,48,Madagascar,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(58.415, 72.08]"
49,49,Malaysia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
50,50,Mexico,"(-2394.327, 488513.4]","(35047.2, 52570.8]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(254.8, 382.2]","(6745.6, 13491.2]","(9.114, 12.152]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(75.8, 113.2]","(0.739, 0.85]","(65.54, 71.96]","(58.415, 72.08]"
51,51,Mongolia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(75.8, 113.2]","(0.739, 0.85]","(65.54, 71.96]","(17.353, 31.086]"
52,52,Morocco,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(113.2, 150.6]","(0.627, 0.739]","(71.96, 78.38]","(44.751, 58.415]"
53,53,Mozambique,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(72.08, 85.744]"
54,54,Namibia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(113.2, 150.6]","(0.516, 0.627]","(59.12, 65.54]","(72.08, 85.744]"
55,55,Nepal,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",South-East Asia,"(113.2, 150.6]","(0.516, 0.627]","(65.54, 71.96]","(44.751, 58.415]"
56,56,New Zealand,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(58.415, 72.08]"
57,57,Nicaragua,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(113.2, 150.6]","(0.627, 0.739]","(71.96, 78.38]","(72.08, 85.744]"
58,58,Nigeria,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(52.668, 59.12]","(72.08, 85.744]"
59,59,Norway,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
60,60,Pakistan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(150.6, 188.0]","(0.516, 0.627]","(65.54, 71.96]","(58.415, 72.08]"
61,61,Panama,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
62,62,Philippines,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
63,63,Poland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(71.96, 78.38]","(31.086, 44.751]"
64,64,Portugal,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
65,65,Qatar,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(38.4, 75.8]","(0.85, 0.962]","(78.38, 84.8]","(72.08, 85.744]"
66,66,Romania,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(44.751, 58.415]"
67,67,Saudi Arabia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(0.813, 38.4]","(0.85, 0.962]","(71.96, 78.38]","(58.415, 72.08]"
68,68,Senegal,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(65.54, 71.96]","(72.08, 85.744]"
69,69,Singapore,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(72.08, 85.744]"
70,70,Slovakia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(31.086, 44.751]"
71,71,South Africa,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(101639.2, 203258.4]","(-44.457, 8891.4]","(254.8, 382.2]","(6745.6, 13491.2]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(64909.4, 129865.8]",Africa,"(75.8, 113.2]","(0.627, 0.739]","(59.12, 65.54]","(58.415, 72.08]"
72,72,Spain,"(-2394.327, 488513.4]","(17523.6, 35047.2]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(9.114, 12.152]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
73,73,Sri Lanka,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",South-East Asia,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
74,74,Suriname,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(75.8, 113.2]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
75,75,Sweden,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(6.076, 9.114]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
76,76,Switzerland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
77,77,Tajikistan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(44.751, 58.415]"
78,78,Togo,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(59.12, 65.54]","(72.08, 85.744]"
79,79,Tunisia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(75.8, 113.2]","(0.627, 0.739]","(71.96, 78.38]","(58.415, 72.08]"
80,80,Uganda,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(59.12, 65.54]","(58.415, 72.08]"
81,81,Ukraine,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(75.8, 113.2]","(0.739, 0.85]","(65.54, 71.96]","(31.086, 44.751]"
82,82,United Arab Emirates,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(72.08, 85.744]"
83,83,United Kingdom,"(-2394.327, 488513.4]","(35047.2, 52570.8]","(-1846.641, 369328.2]","(203258.4, 304877.6]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(12.152, 15.19]","(-0.0983, 19.666]","(2552.208, 3190.26]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
84,84,Uruguay,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(58.415, 72.08]"
85,85,Uzbekistan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(75.8, 113.2]","(0.627, 0.739]","(65.54, 71.96]","(44.751, 58.415]"
